Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	mu_bar	sigma2_1	sigma2_2	sigma2_3	sigma2_bar	lnL
302	0.1327667	0.1215616	0.0752574	0.0531845	0.0221778	0.0422211	0.4995598	0.1715914	2.0654883	0.3089064	0.0202838	0.0077822	0.0287644	0.0313323	-35000.598
304	0.1134845	0.1039068	0.0649645	0.0454604	0.0189568	0.0360892	0.6290469	0.2125886	2.4164353	0.3089064	0.0130913	0.0077822	0.0287644	0.0102273	-34995.176
306	0.0964421	0.0883027	0.0515080	0.0386334	0.0161100	0.0306695	0.6910968	0.2501554	2.8434470	0.3089064	0.0075839	0.0077822	0.0397063	0.0534422	-34994.175
308	0.1047294	0.0958906	0.0559341	0.0390988	0.0174943	0.0333050	0.6364097	0.2303603	2.8745780	0.3089064	0.0190995	0.0085159	0.0397063	0.1120609	-34987.166
310	0.0987113	0.0958906	0.0559341	0.0390988	0.0185947	0.0333050	0.6364097	0.2303603	2.7161748	0.5755265	0.0190995	0.0181874	0.0397063	0.0222123	-34995.822
312	0.1133514	0.1113429	0.0642298	0.0461021	0.0190913	0.0382445	0.5210252	0.2006078	2.2238194	0.2679653	0.0075135	0.0181874	0.0397063	0.0373262	-34996.910
314	0.0970934	0.0957356	0.0554868	0.0399485	0.0170532	0.0316336	0.6299113	0.2472744	2.6885626	0.6194934	0.0051013	0.0181874	0.0308362	0.0373262	-34994.371
316	0.1221304	0.1134720	0.0697723	0.0488226	0.0209381	0.0374942	0.5314520	0.1849574	2.2683227	0.4897270	0.0051013	0.0181874	0.0459834	0.0239016	-34991.533
318	0.1020575	0.0925173	0.0583048	0.0407982	0.0174967	0.0313318	0.6359796	0.2281153	2.3440236	0.4897270	0.0051013	0.0181874	0.0459834	0.0239016	-34998.363
320	0.0939181	0.0851388	0.0536548	0.0375445	0.0161013	0.0285522	0.6910967	0.2611708	2.9650857	0.4897270	0.0019795	0.0181874	0.0459834	0.0506108	-34992.651
322	0.1011589	0.0950551	0.0575917	0.0419173	0.0179767	0.0352628	0.6190003	0.2170872	2.6557628	0.4897270	0.0024566	0.0068398	0.0325021	0.0290678	-34996.867
324	0.1063440	0.1026414	0.0612211	0.0460115	0.0197325	0.0363998	0.5639203	0.2383509	2.4194473	0.4897270	0.0024566	0.0203144	0.0325021	0.0290678	-34995.892
326	0.1278124	0.1237525	0.0735803	0.0553002	0.0220959	0.0437480	0.4691998	0.1983156	2.0130578	0.4897270	0.0064112	0.0203144	0.0603466	0.0512360	-34996.369
328	0.1659155	0.1643504	0.0955158	0.0692460	0.0286831	0.0567901	0.3759874	0.1527717	1.3896361	0.2238842	0.0116252	0.0103834	0.0603466	0.1244344	-34997.227
330	0.1611661	0.1610579	0.0955158	0.0692460	0.0262741	0.0567901	0.3453062	0.1546415	1.2311118	0.3259664	0.0116252	0.0103834	0.0914543	0.0499043	-35003.410
332	0.1788293	0.1645826	0.1013125	0.0719404	0.0298129	0.0567901	0.3717091	0.1546415	1.4830467	0.3259664	0.0077953	0.0222671	0.0195024	0.0323631	-34998.668
334	0.1566437	0.1441645	0.0887436	0.0662681	0.0261143	0.0497447	0.4212356	0.1663035	1.6930920	0.3259664	0.0035695	0.0222671	0.0098692	0.0323631	-34996.459
336	0.1655559	0.1523666	0.0937927	0.0700383	0.0311614	0.0493400	0.3985598	0.1573511	1.6019500	0.3259664	0.0115521	0.0222671	0.0150310	0.0323631	-34997.036
338	0.1523464	0.1485085	0.0898205	0.0660366	0.0286735	0.0493400	0.4039677	0.1700233	1.6019500	0.3259664	0.0284219	0.0222671	0.0296880	0.0323631	-34993.490
340	0.1318005	0.1284802	0.0797292	0.0551183	0.0248065	0.0426858	0.4669408	0.1965277	1.8916769	0.3472223	0.0121952	0.0222671	0.0192344	0.0382872	-35000.023
342	0.1421313	0.1386243	0.0859786	0.0585730	0.0267509	0.0529139	0.4330014	0.1822431	1.7541812	0.4714083	0.0121952	0.0222671	0.0356605	0.0382872	-34991.776
344	0.1271455	0.1154012	0.0776880	0.0489248	0.0231233	0.0457384	0.5009305	0.2028038	2.0293768	0.2506335	0.0059597	0.0222671	0.0387348	0.0243927	-34998.588
346	0.1205154	0.1154012	0.0735344	0.0525843	0.0231233	0.0457384	0.5009305	0.2044934	2.0293768	0.2506335	0.0059597	0.0222671	0.0720012	0.1076303	-34990.122
348	0.1376837	0.1373157	0.0905667	0.0588692	0.0290729	0.0513465	0.4442467	0.1735457	1.7222543	0.2506335	0.0146561	0.0222671	0.1282634	0.0177236	-34999.183
350	0.1577992	0.1496015	0.0977234	0.0651102	0.0295098	0.0567899	0.3799465	0.1569110	1.6099734	0.5013879	0.0060159	0.0222671	0.0512430	0.0193885	-34992.516
352	0.1577992	0.1496015	0.0977234	0.0693321	0.0281851	0.0587441	0.4025052	0.1569110	1.6099734	0.5013879	0.0052807	0.0133025	0.0342408	0.0193885	-34992.818
354	0.1517675	0.1496015	0.0977234	0.0693321	0.0281851	0.0587441	0.4025052	0.1569110	1.6099734	0.2755497	0.0024340	0.0207228	0.0102647	0.0193885	-34994.440
356	0.1377243	0.1318772	0.0861455	0.0611179	0.0248459	0.0469587	0.4562232	0.1710771	1.8263541	0.2755497	0.0024340	0.0073238	0.0073922	0.0057593	-34993.942
358	0.1762798	0.1750809	0.1142661	0.0779483	0.0336672	0.0598900	0.3577167	0.1341386	1.4320126	0.2755497	0.0013751	0.0288129	0.0073922	0.0130984	-34998.612
360	0.1621722	0.1532783	0.1006513	0.0686608	0.0296558	0.0577239	0.4061038	0.1614456	1.6257158	0.2755497	0.0013016	0.0090314	0.0112592	0.0041522	-35002.044
362	0.1550059	0.1532783	0.1003686	0.0686608	0.0296558	0.0525267	0.4061038	0.1534249	1.6257158	0.2755497	0.0019366	0.0090314	0.0153620	0.0186297	-35007.349
364	0.1628604	0.1532783	0.1003686	0.0690419	0.0296558	0.0525267	0.4061038	0.1617366	1.6257158	0.4280566	0.0019366	0.0148993	0.0153620	0.0186297	-34998.515
366	0.1628604	0.1532783	0.0944857	0.0690419	0.0265358	0.0525267	0.4061038	0.1617366	1.6257158	0.4280566	0.0019366	0.0148993	0.0153620	0.0186297	-34998.529
368	0.1382889	0.1301526	0.0769044	0.0580747	0.0246429	0.0475929	0.4782611	0.1731460	1.9145762	0.4280566	0.0091103	0.0067362	0.0336315	0.0333474	-34993.766
370	0.1278054	0.1263970	0.0710743	0.0536721	0.0212913	0.0414823	0.4861042	0.1873487	2.0716235	0.4280566	0.0041855	0.0250451	0.0336315	0.0333474	-34996.096
372	0.1501673	0.1405114	0.0844223	0.0613868	0.0265225	0.0506105	0.4250139	0.1638040	1.5417886	0.2101555	0.0098032	0.0106950	0.0336315	0.0333474	-34993.299
374	0.1445945	0.1412802	0.0874310	0.0613868	0.0240973	0.0506105	0.4250139	0.1638040	1.6390198	0.2101555	0.0098032	0.0033350	0.0476993	0.0092187	-34991.211
376	0.1499468	0.1412802	0.0874310	0.0586152	0.0251298	0.0524786	0.4250139	0.1638040	1.6390198	0.3294490	0.0098032	0.0049929	0.0270528	0.0294871	-34995.925
378	0.1802465	0.1705604	0.1004598	0.0707631	0.0303379	0.0633548	0.3520515	0.1393402	1.3576484	0.3294490	0.0098032	0.0139401	0.0270528	0.0285609	-34999.659
380	0.1500703	0.1319442	0.0820941	0.0560128	0.0248490	0.0483027	0.4447597	0.1760337	1.7151674	0.3294490	0.0098032	0.0139401	0.0222777	0.0285609	-34999.633
382	0.1688174	0.1649596	0.0978715	0.0667778	0.0296246	0.0575858	0.3647679	0.1567812	1.4386731	0.3294490	0.0024767	0.0236708	0.0296548	0.0285609	-34991.956
384	0.1484630	0.1416117	0.0869650	0.0596665	0.0254316	0.0538371	0.3979229	0.1926230	1.8813400	0.3294490	0.0026441	0.0670134	0.0455180	0.0279527	-34991.962
386	0.1484630	0.1416117	0.0824126	0.0596665	0.0278843	0.0538371	0.4158318	0.2121869	1.7151820	0.2385223	0.0026441	0.0670134	0.0455180	0.0506020	-34995.085
388	0.1484630	0.1472151	0.0824126	0.0596665	0.0263926	0.0538371	0.4158318	0.2121869	1.5572924	0.2385223	0.0026441	0.0670134	0.0843780	0.0506020	-34993.418
390	0.1698633	0.1635499	0.1014669	0.0722922	0.0300915	0.0561921	0.3647174	0.1738944	1.5348212	0.2385223	0.0036612	0.0340709	0.0596953	0.0506020	-34996.458
392	0.1391425	0.1378024	0.0861565	0.0610518	0.0246493	0.0460295	0.4452420	0.1963638	1.8736888	0.3950850	0.0036612	0.0340709	0.0332891	0.0506020	-34994.812
394	0.1702984	0.1601449	0.1001255	0.0709505	0.0286458	0.0582506	0.3966592	0.1757766	1.6122818	0.3950850	0.0036612	0.0747019	0.0256919	0.0994434	-34993.404
396	0.1425446	0.1402179	0.0841814	0.0599845	0.0284551	0.0513597	0.4252013	0.1750050	1.8286010	0.3691581	0.0036612	0.0747019	0.0256919	0.0161547	-34993.645
398	0.1425446	0.1402179	0.0870014	0.0619134	0.0251814	0.0513597	0.4252013	0.1516528	1.6746586	0.3691581	0.0036612	0.0747019	0.0203820	0.0161547	-34996.539
400	0.1662433	0.1566712	0.0978462	0.0696309	0.0283203	0.0577618	0.3780740	0.1406661	1.4890476	0.2528204	0.0024923	0.0485596	0.0318084	0.0427300	-34992.248
402	0.1536134	0.1447685	0.0870823	0.0643409	0.0278847	0.0533735	0.4091588	0.1522315	1.7828435	0.2528204	0.0024923	0.0485596	0.0308607	0.0427300	-34987.565
404	0.1822347	0.1717418	0.1001687	0.0763289	0.0346801	0.0575067	0.3448975	0.1350844	1.5028352	0.2528204	0.0021212	0.1027368	0.0457887	0.0941119	-34991.045
406	0.1762844	0.1592276	0.1001687	0.0721492	0.0324668	0.0575067	0.3570163	0.1350844	1.5028352	0.3836475	0.0021212	0.1027368	0.0269591	0.0325074	-34991.098
408	0.1525659	0.1412967	0.0888885	0.0640243	0.0288107	0.0496120	0.4023226	0.1608605	1.6935488	0.2619065	0.0021212	0.1106747	0.0589926	0.0789098	-34993.554
410	0.1235817	0.1144534	0.0721599	0.0518611	0.0258342	0.0401868	0.4966812	0.1946688	2.0907450	0.2619065	0.0047300	0.0501361	0.0296131	0.0321563	-34991.331
412	0.1457919	0.1303241	0.0849453	0.0610499	0.0285718	0.0473071	0.4219240	0.1814119	1.9081528	0.2619065	0.0026181	0.0501361	0.0481493	0.1068280	-34995.056
414	0.1675833	0.1442667	0.0971089	0.0677231	0.0315806	0.0587412	0.3583435	0.1540746	1.6206098	0.1838959	0.0054889	0.0501361	0.0481493	0.0445176	-34998.596
416	0.1588743	0.1442667	0.0971089	0.0677231	0.0315806	0.0587412	0.3650283	0.1409904	1.6552826	0.4835718	0.0157207	0.0501361	0.0292752	0.0445176	-34995.563
418	0.1714624	0.1556974	0.0988958	0.0730891	0.0305099	0.0568840	0.3731384	0.1409816	1.5449532	0.4835718	0.0157207	0.0501361	0.0489717	0.0445176	-35003.095
420	0.1527948	0.1387462	0.0912729	0.0651317	0.0271882	0.0522894	0.4187263	0.1582059	1.7337064	0.4145523	0.0157207	0.0501361	0.0253643	0.0445176	-34993.061
422	0.1738122	0.1636351	0.1064778	0.0797415	0.0311459	0.0621385	0.3459645	0.1390756	1.5240667	0.2488266	0.0090802	0.0246728	0.0253283	0.0927452	-34996.176
424	0.1521815	0.1432710	0.0912641	0.0655229	0.0273600	0.0544055	0.4154973	0.1588435	1.5774184	0.2488266	0.0090802	0.0246728	0.0176240	0.0354360	-34995.615
426	0.1356571	0.1247221	0.0794484	0.0570398	0.0238178	0.0473617	0.4948747	0.1600265	1.8120145	0.2488266	0.0090802	0.0246728	0.0338218	0.0354360	-34992.069
428	0.1356571	0.1338668	0.0822164	0.0593332	0.0238178	0.0473617	0.4948747	0.1746091	1.8120145	0.2488266	0.0058389	0.0246728	0.0167058	0.0354360	-34996.317
430	0.1389107	0.1286844	0.0795832	0.0570576	0.0238178	0.0473617	0.4948747	0.1614086	1.8120145	0.5063498	0.0145507	0.0246728	0.0163450	0.0354360	-34993.409
432	0.1742337	0.1614071	0.0998201	0.0715665	0.0342898	0.0616758	0.3539121	0.1286856	1.4446582	0.2703145	0.0307611	0.0093167	0.0503044	0.0180695	-34994.422
434	0.1742337	0.1614071	0.0998201	0.0715665	0.0342898	0.0616758	0.3539121	0.1286856	1.4446582	0.2131701	0.0307611	0.0056031	0.0503044	0.0848919	-35002.088
436	0.1742337	0.1562689	0.0998201	0.0715665	0.0342898	0.0616758	0.3737324	0.1286856	1.3655042	0.2131701	0.0140444	0.0056031	0.0810367	0.0310008	-35003.420
438	0.1716425	0.1593769	0.1018055	0.0729899	0.0349718	0.0629025	0.3664441	0.1261761	1.2897866	0.2131701	0.0040601	0.0056031	0.0526531	0.0123670	-35002.416
440	0.1506684	0.1442383	0.0893652	0.0640708	0.0330922	0.0591982	0.4174557	0.1437407	1.4693340	0.3090337	0.0040601	0.0056031	0.0284999	0.0123670	-35005.372
442	0.1629027	0.1608363	0.0973452	0.0732398	0.0339092	0.0705987	0.3832344	0.1319574	1.5889758	0.3090337	0.0040601	0.0056031	0.0584159	0.0123670	-34999.779
444	0.1629914	0.1608363	0.0973452	0.0697205	0.0339092	0.0590890	0.3832344	0.1319574	1.3976024	0.3090337	0.0040601	0.0056031	0.0241974	0.0123670	-34999.318
446	0.1655182	0.1611389	0.1001261	0.0751884	0.0314898	0.0590890	0.3890963	0.1319574	1.5160126	0.3163083	0.0101355	0.0052072	0.0251921	0.0123670	-34995.697
448	0.1390043	0.1353264	0.0840872	0.0590049	0.0264455	0.0496237	0.4498824	0.1571272	1.8051795	0.3163083	0.0101355	0.0052072	0.0242088	0.0157697	-34995.313
450	0.1769416	0.1724439	0.1053420	0.0751888	0.0336990	0.0632345	0.3530482	0.1233066	1.4166264	0.3163083	0.0053755	0.0052072	0.0242088	0.0157697	-34997.506
452	0.1485695	0.1435165	0.0914790	0.0631325	0.0277895	0.0465926	0.4204693	0.1468543	1.7553891	0.3163083	0.0053755	0.0052072	0.0133359	0.0461763	-35002.697
454	0.1244016	0.1201706	0.0765980	0.0528627	0.0251447	0.0411645	0.4771032	0.1753841	2.0964142	0.3163083	0.0052938	0.0052072	0.0133359	0.0155124	-35000.246
456	0.1308586	0.1307119	0.0799608	0.0584002	0.0238208	0.0446308	0.4570382	0.1776692	2.0082475	0.3163083	0.0052938	0.0080316	0.0258396	0.0415277	-34994.996
458	0.1514229	0.1478925	0.0904708	0.0660762	0.0254042	0.0504971	0.3899878	0.1570294	1.6017791	0.3163083	0.0023225	0.0263356	0.0140961	0.0367908	-35003.454
460	0.1649242	0.1557567	0.0941018	0.0719678	0.0302556	0.0549995	0.3580619	0.1554157	1.4706514	0.3163083	0.0023225	0.0263356	0.0140961	0.1204145	-34999.678
462	0.1649242	0.1597503	0.1012532	0.0740008	0.0302556	0.0549995	0.3580619	0.1554157	1.5894935	0.3163083	0.0019102	0.1074756	0.0103205	0.0258322	-34994.826
464	0.1447456	0.1409335	0.0892357	0.0652179	0.0264296	0.0484718	0.4062823	0.1663396	1.8035516	0.3163083	0.0009718	0.1074756	0.0103205	0.1079552	-34999.981
466	0.1126554	0.1067094	0.0675659	0.0493805	0.0185757	0.0367010	0.5365860	0.2111662	2.3819902	0.3163083	0.0048761	0.1074756	0.0292089	0.0368644	-34994.788
468	0.1147722	0.1107905	0.0675137	0.0493805	0.0171419	0.0367010	0.5365860	0.2427961	2.3819902	0.3163083	0.0043283	0.1074756	0.0292089	0.0684247	-35004.220
470	0.1609189	0.1553362	0.0946590	0.0666746	0.0214161	0.0495614	0.3827093	0.1713487	1.6989072	0.3163083	0.0200079	0.1074756	0.0447515	0.0684247	-34996.294
472	0.1300359	0.1261569	0.0785628	0.0553369	0.0198491	0.0440366	0.4461536	0.2064553	2.4439483	0.3163083	0.0200079	0.0416950	0.0407259	0.0684247	-34993.440
474	0.1741359	0.1623942	0.1015932	0.0715588	0.0265869	0.0569459	0.3580977	0.1596533	1.8899223	0.3163083	0.0200079	0.0416950	0.0407259	0.0684247	-34989.835
476	0.1448196	0.1350546	0.0844897	0.0595117	0.0221110	0.0473589	0.4051333	0.1861206	1.9287624	0.2271993	0.0200079	0.0604957	0.0407259	0.0684247	-34988.080
478	0.1211850	0.1171464	0.0732705	0.0466762	0.0185024	0.0400404	0.5211273	0.2014579	2.2786801	0.6076499	0.0052840	0.0604957	0.0414542	0.1168890	-34992.215
480	0.1553084	0.1465611	0.0883337	0.0612637	0.0245664	0.0500943	0.4165376	0.1928315	1.6399218	0.3353859	0.0035570	0.0604957	0.0229285	0.0489501	-34994.335
482	0.1494475	0.1394021	0.0883337	0.0612637	0.0245664	0.0453156	0.4165376	0.1928315	1.6399218	0.3353859	0.0059123	0.0325489	0.0229285	0.0463436	-34990.209
484	0.1594104	0.1522890	0.0964997	0.0669271	0.0251032	0.0488102	0.3812896	0.1615279	1.5011492	0.3353859	0.0022747	0.0381573	0.0502528	0.0463436	-34990.392
486	0.1653220	0.1587124	0.0964997	0.0686444	0.0251032	0.0542152	0.3812896	0.1423324	1.7271649	0.1959759	0.0029794	0.0903741	0.0502528	0.0463436	-34995.203
488	0.1653220	0.1587124	0.0934060	0.0721255	0.0265055	0.0542152	0.3812896	0.1340755	1.4669545	0.4056287	0.0063637	0.0903741	0.0629090	0.0463436	-34995.970
490	0.1653220	0.1561558	0.0934060	0.0709127	0.0282670	0.0542152	0.3812896	0.1340755	1.7129811	0.4056287	0.0036141	0.0340446	0.0387950	0.0463436	-34994.497
492	0.1309010	0.1236433	0.0739583	0.0561483	0.0223816	0.0397216	0.4815514	0.1596979	2.1634173	0.4056287	0.0036141	0.0755916	0.0387950	0.0463436	-34999.196
494	0.1396790	0.1373981	0.0862862	0.0623946	0.0269593	0.0439256	0.4333436	0.1437106	1.9468390	0.4056287	0.0017546	0.0755916	0.0387950	0.0107134	-34997.063
496	0.1413444	0.1367436	0.0879664	0.0631385	0.0272807	0.0444493	0.4282376	0.1663342	1.9238998	0.4056287	0.0012243	0.0755916	0.0387950	0.0281251	-34994.159
498	0.1514304	0.1465013	0.0942435	0.0676439	0.0294877	0.0499598	0.3997149	0.1533952	1.7954170	0.2082077	0.0012243	0.0755916	0.0387950	0.0555614	-34993.303
500	0.1514304	0.1475193	0.0953587	0.0643100	0.0294877	0.0499598	0.3997149	0.1826168	1.6117428	0.2082077	0.0012243	0.0755916	0.0465069	0.0555614	-34990.641
502	0.1535842	0.1517935	0.0996041	0.0660794	0.0324855	0.0499598	0.3997149	0.1720964	1.7682099	0.3271984	0.0046711	0.0322147	0.0465069	0.0122580	-34994.220
504	0.1578080	0.1568775	0.0953789	0.0646827	0.0324855	0.0499598	0.3838310	0.1720964	1.7682099	0.3271984	0.0046711	0.0322147	0.0311983	0.0190508	-35000.235
506	0.1325823	0.1318006	0.0825251	0.0543431	0.0250628	0.0419738	0.4801659	0.2148657	1.8507277	0.3271984	0.0046711	0.0322147	0.0311983	0.0298082	-34991.810
508	0.1325823	0.1318006	0.0792122	0.0514230	0.0250628	0.0419738	0.4801659	0.2030368	1.8507277	0.3271984	0.0053244	0.0155032	0.0490765	0.0163622	-34995.508
510	0.1325823	0.1306698	0.0749865	0.0514230	0.0271602	0.0419738	0.4801659	0.2030368	1.8507277	0.3271984	0.0053244	0.0155032	0.0490765	0.0163622	-34994.329
512	0.1519575	0.1453081	0.0861618	0.0645397	0.0313591	0.0484628	0.4158727	0.1758506	1.6029191	0.3271984	0.0053244	0.0043287	0.0291440	0.0163622	-34998.207
514	0.1669483	0.1605866	0.0988315	0.0765765	0.0359703	0.0599765	0.3625599	0.1533075	1.3974329	0.3271984	0.0053244	0.0064248	0.0356409	0.0100325	-34999.600
516	0.1652094	0.1530663	0.1009668	0.0765765	0.0359703	0.0560475	0.3625599	0.1533075	1.6338134	0.3271984	0.0036108	0.0064248	0.0199778	0.0336102	-35005.859
518	0.1608028	0.1530663	0.1009668	0.0765765	0.0359703	0.0560475	0.3625599	0.1533075	1.6338134	0.3271984	0.0017555	0.0064248	0.0199778	0.0780421	-35001.447
520	0.1643184	0.1587559	0.1009668	0.0728592	0.0327567	0.0611058	0.3625599	0.1533075	1.6338134	0.5104321	0.0017555	0.0064248	0.0199778	0.0780421	-34997.534
522	0.1612302	0.1587559	0.1009668	0.0728592	0.0327567	0.0611058	0.3625599	0.1453072	1.6338134	0.3212453	0.0017555	0.0132079	0.0598987	0.3327063	-34992.729
524	0.1673434	0.1655963	0.1106557	0.0780178	0.0329454	0.0640818	0.3457223	0.1544192	1.3536650	0.3212453	0.0015843	0.0273187	0.0185953	0.0574285	-34993.578
526	0.1673434	0.1655963	0.1106557	0.0789286	0.0334826	0.0640818	0.3457223	0.1544192	1.3536650	0.1988582	0.0026979	0.0252798	0.0185953	0.0107243	-34997.867
528	0.1379147	0.1377030	0.0911960	0.0650484	0.0275944	0.0495898	0.4339241	0.1734033	1.6425145	0.1988582	0.0026979	0.0159126	0.0316220	0.0640683	-35003.323
530	0.1658831	0.1643885	0.1088689	0.0717409	0.0305266	0.0591999	0.3634843	0.1324066	1.4686451	0.2708382	0.0026979	0.0159126	0.0677189	0.0281603	-35002.825
532	0.1536490	0.1436007	0.0906049	0.0638885	0.0266663	0.0559349	0.4161028	0.1515739	1.8206923	0.2708382	0.0026979	0.0159126	0.0408036	0.0495516	-34992.550
534	0.1957933	0.1829888	0.1198334	0.0814124	0.0307535	0.0667074	0.3265371	0.1387640	1.3340151	0.3378798	0.0062633	0.0224027	0.0408036	0.0495516	-34993.350
536	0.1665036	0.1613935	0.1065132	0.0684568	0.0304014	0.0559998	0.3793722	0.1472927	1.5008439	0.3378798	0.0103319	0.0085050	0.0202098	0.0382366	-34995.310
538	0.1693031	0.1613935	0.1044008	0.0684568	0.0339301	0.0559998	0.3793722	0.1472927	1.5008439	0.3378798	0.0103319	0.0070531	0.0217095	0.0099655	-34997.819
540	0.1522841	0.1451697	0.0939061	0.0615753	0.0250118	0.0503705	0.4068379	0.1637538	1.6685751	0.3378798	0.0187739	0.0131388	0.0346181	0.0543385	-34997.976
542	0.1307137	0.1228544	0.0767499	0.0541577	0.0239008	0.0426276	0.4807360	0.1934981	1.9716551	0.3378798	0.0094846	0.0131388	0.0277164	0.0660966	-34995.574
544	0.1171940	0.1137818	0.0706707	0.0485561	0.0214287	0.0382186	0.4938178	0.2274765	1.9925079	0.3378798	0.0094846	0.0131388	0.0510200	0.0660966	-34993.542
546	0.1360074	0.1355219	0.0862966	0.0586685	0.0248687	0.0443540	0.4255098	0.1740385	1.7168918	0.3378798	0.0069891	0.0131388	0.0510200	0.0159933	-34990.896
548	0.1570508	0.1536545	0.0957670	0.0677458	0.0271020	0.0512165	0.3524004	0.1507189	1.4868435	0.3056010	0.0037939	0.0131388	0.0429271	0.1176904	-34996.793
550	0.1570508	0.1536545	0.0957670	0.0632530	0.0287914	0.0545135	0.3524004	0.1406032	1.6112827	0.3056010	0.0045712	0.0055200	0.0471701	0.0190844	-34996.175
552	0.1611116	0.1567854	0.0943322	0.0677388	0.0272968	0.0545135	0.3851345	0.1406032	1.6112827	0.3056010	0.0039396	0.0055200	0.0239379	0.0088484	-34993.495
554	0.1611116	0.1551162	0.0943322	0.0677388	0.0297150	0.0545135	0.3688522	0.1582596	1.6112827	0.2470919	0.0069691	0.0131502	0.0161150	0.0088484	-34993.463
556	0.1492142	0.1414701	0.0871169	0.0617796	0.0289418	0.0497178	0.4307169	0.1675756	1.7667052	0.2470919	0.0069691	0.0106215	0.0223010	0.0183780	-34993.065
558	0.1448874	0.1414701	0.0875941	0.0617796	0.0278355	0.0497178	0.4115272	0.1675756	1.7972541	0.4170908	0.0129961	0.0106215	0.0308398	0.0246154	-34996.401
560	0.1666760	0.1553448	0.0984690	0.0672645	0.0297118	0.0530691	0.3855390	0.1569931	1.6837564	0.4170908	0.0129961	0.0112040	0.0308398	0.0246154	-34992.293
562	0.1450797	0.1383871	0.0877199	0.0643742	0.0285134	0.0472760	0.4094039	0.1762307	1.8900813	0.2030105	0.0078124	0.0053919	0.0173442	0.0095401	-35002.088
564	0.1225231	0.1194111	0.0792008	0.0565951	0.0229141	0.0388448	0.4656769	0.2004539	2.1498753	0.3790992	0.0078124	0.0220865	0.0301440	0.0424682	-34994.349
566	0.1365398	0.1347868	0.0879528	0.0628491	0.0254462	0.0442673	0.4193384	0.1805071	1.7216153	0.3790992	0.0185048	0.0085618	0.0218626	0.0162188	-34997.010
568	0.1253573	0.1218359	0.0791848	0.0565837	0.0229095	0.0398543	0.5069424	0.2004944	1.9122468	0.2487460	0.0185048	0.0085618	0.0462359	0.0402367	-34995.910
570	0.1308031	0.1253915	0.0821504	0.0590418	0.0239047	0.0415857	0.4858365	0.1921470	1.8326326	0.4602917	0.0080570	0.0085618	0.0135193	0.0108107	-34995.527
572	0.1756467	0.1604655	0.1051291	0.0755568	0.0332633	0.0520826	0.3783190	0.1343417	1.5541581	0.2494462	0.0080570	0.0085618	0.0177283	0.0158201	-35002.174
574	0.1664362	0.1604655	0.1051291	0.0803122	0.0332633	0.0490392	0.3783190	0.1433484	1.5541581	0.2494462	0.0205199	0.0085618	0.0177283	0.0904982	-34999.551
576	0.1400841	0.1295081	0.0884838	0.0691264	0.0279967	0.0412747	0.4494870	0.1643271	1.8465208	0.2494462	0.0205199	0.0085618	0.0134214	0.0160813	-35003.046
578	0.1320928	0.1288541	0.0884838	0.0661258	0.0263054	0.0419561	0.4494870	0.1788143	1.8465208	0.3027573	0.0205199	0.0116306	0.0079035	0.0160813	-34999.661
580	0.1376840	0.1335868	0.0865861	0.0661258	0.0263054	0.0419561	0.4828096	0.1788143	1.8465208	0.5230003	0.0205199	0.0067082	0.0119186	0.0475706	-34997.355
582	0.1341673	0.1264094	0.0865861	0.0630301	0.0262966	0.0443047	0.4828096	0.1788143	1.8465208	0.2506608	0.0205199	0.0067082	0.0192193	0.0177205	-35001.651
584	0.1648721	0.1474621	0.1037999	0.0774549	0.0304954	0.0548684	0.3608875	0.1455129	1.5026350	0.5054866	0.0090815	0.0067082	0.0192193	0.0177205	-35002.578
586	0.1648721	0.1474621	0.1001763	0.0761253	0.0304954	0.0505557	0.3608875	0.1370611	1.5026350	0.4236027	0.0083936	0.0067082	0.0101337	0.0112074	-35008.686
588	0.1648721	0.1474621	0.1001763	0.0761253	0.0304954	0.0540366	0.3488407	0.1335057	1.5026350	0.4236027	0.0086011	0.0067082	0.0199545	0.0186589	-35003.909
590	0.1648721	0.1474621	0.1001763	0.0717189	0.0304954	0.0589597	0.3461019	0.1335057	1.5026350	0.4236027	0.0227092	0.0067082	0.0102962	0.0488407	-34997.706
592	0.1359417	0.1201901	0.0791016	0.0566310	0.0240799	0.0504528	0.4383124	0.1690751	1.9029761	0.4236027	0.0142542	0.0121526	0.0207013	0.0182304	-34999.947
594	0.1597450	0.1380447	0.0827070	0.0616869	0.0279305	0.0502630	0.4023880	0.1552175	1.6348654	0.1984216	0.0142542	0.0121526	0.0320701	0.0115701	-34996.134
596	0.1498687	0.1395560	0.0806925	0.0601843	0.0272502	0.0490388	0.4424025	0.1590926	1.6756810	0.3448768	0.0142542	0.0121526	0.0274311	0.0842558	-34998.907
598	0.1240544	0.1226472	0.0758874	0.0548411	0.0254973	0.0452769	0.4802054	0.1810261	1.9067002	0.6299166	0.0142542	0.0049708	0.0500444	0.0221532	-35001.087
600	0.1240544	0.1209247	0.0758874	0.0548411	0.0254973	0.0452769	0.5216974	0.1810261	1.9067002	0.6299166	0.0283804	0.0049708	0.0500444	0.0853361	-34998.616
602	0.1365115	0.1339652	0.0840711	0.0607552	0.0261308	0.0487465	0.4534757	0.1634046	1.7210972	0.4843422	0.0137104	0.0049708	0.0500444	0.0269827	-34995.386
