Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	mu_bar	sigma2_1	sigma2_2	sigma2_3	sigma2_bar	lnL
1188	0.1774038	0.1566137	0.1024988	0.0738257	0.0331087	0.0550547	0.3406516	0.1457635	1.5014361	0.4475797	0.0009018	0.0028212	0.0255217	0.0371860	-35004.078
1190	0.1508593	0.1414947	0.0871622	0.0627793	0.0281547	0.0468170	0.4019807	0.1714113	1.7656211	0.2926821	0.0009018	0.0044009	0.0255217	0.2276873	-34997.856
1192	0.1886740	0.1769620	0.1090104	0.0785157	0.0329112	0.0585522	0.3214144	0.1370565	1.4117495	0.2926821	0.0016645	0.0044009	0.0255217	0.2276873	-34998.524
1194	0.1886740	0.1769620	0.1130758	0.0785157	0.0366508	0.0585522	0.3214144	0.1370565	1.4117495	0.2926821	0.0009144	0.0044009	0.0390471	0.0199704	-35000.293
1196	0.1591846	0.1453214	0.0958856	0.0667171	0.0268828	0.0480832	0.3913953	0.1668976	1.7191271	0.2926821	0.0009144	0.0021401	0.0228418	0.0199704	-35002.550
1198	0.1591846	0.1534386	0.0958856	0.0667171	0.0268828	0.0480832	0.3913953	0.1668976	1.7191271	0.2926821	0.0009144	0.0039339	0.0452401	0.0199704	-35004.656
1200	0.1569075	0.1492627	0.0925318	0.0652373	0.0252580	0.0490161	0.3839461	0.1637211	1.8423256	0.2926821	0.0009144	0.0032741	0.0297090	0.0199704	-35001.333
1202	0.1569075	0.1524957	0.0920471	0.0594136	0.0235707	0.0545445	0.3839461	0.1637211	1.6842918	0.2926821	0.0003294	0.0032741	0.0297090	0.0194782	-34999.077
1204	0.1601841	0.1591807	0.0920471	0.0640142	0.0235707	0.0545445	0.3839461	0.1719520	1.4339036	0.2926821	0.0007385	0.0032741	0.0297090	0.0194782	-34995.171
1206	0.1601841	0.1591807	0.0959587	0.0684039	0.0260335	0.0522858	0.3839461	0.1621508	1.5462436	0.2926821	0.0013391	0.0063975	0.0350349	0.0194782	-35003.387
1208	0.1369889	0.1346510	0.0820635	0.0584987	0.0277939	0.0447147	0.4489566	0.1896065	2.0251012	0.5359325	0.0025958	0.0063975	0.0350349	0.0194782	-34996.681
1210	0.1683521	0.1618472	0.1008518	0.0753488	0.0341573	0.0549520	0.3653179	0.1542836	1.6478335	0.2756341	0.0015039	0.0063975	0.0198193	0.0194782	-34998.602
1212	0.1683521	0.1581310	0.1008518	0.0706406	0.0315087	0.0512360	0.3653179	0.1542836	1.6478335	0.2756341	0.0015039	0.0063975	0.0377276	0.0194782	-34999.252
